"","SFA","LA","DHA","Total_C","non_HDL_C","Remnant_C","VLDL_C","Clinical_LDL_C","LDL_C","HDL_C","Total_TG","VLDL_TG","LDL_TG","HDL_TG","Total_PL","VLDL_PL","LDL_PL","HDL_PL","Total_CE","VLDL_CE","LDL_CE","HDL_CE","Total_FC","VLDL_FC","LDL_FC","HDL_FC","Total_L","VLDL_L","LDL_L","HDL_L","Total_P","VLDL_P","LDL_P","HDL_P","VLDL_size","LDL_size","HDL_size","Phosphoglyc","TG_by_PG","Cholines","Phosphatidylc","Sphingomyelins","ApoB","ApoA1","ApoB_by_ApoA1","Total_FA","Unsaturation","Omega_3","Omega_6","PUFA","MUFA","Omega_3_pct","Omega_6_pct","PUFA_pct","MUFA_pct","SFA_pct","LA_pct","DHA_pct","PUFA_by_MUFA","Omega_6_by_Omega_3","Ala","Gln","Gly","His","Total_BCAA","Ile","Leu","Val","Phe","Tyr","Glucose","Lactate","Pyruvate","Citrate","bOHbutyrate","Acetate","Acetoacetate","Acetone","Creatinine","Albumin","GlycA","XXL_VLDL_P","XXL_VLDL_L","XXL_VLDL_PL","XXL_VLDL_C","XXL_VLDL_CE","XXL_VLDL_FC","XXL_VLDL_TG","XL_VLDL_P","XL_VLDL_L","XL_VLDL_PL","XL_VLDL_C","XL_VLDL_CE","XL_VLDL_FC","XL_VLDL_TG","L_VLDL_P","L_VLDL_L","L_VLDL_PL","L_VLDL_C","L_VLDL_CE","L_VLDL_FC","L_VLDL_TG","M_VLDL_P","M_VLDL_L","M_VLDL_PL","M_VLDL_C","M_VLDL_CE","M_VLDL_FC","M_VLDL_TG","S_VLDL_P","S_VLDL_L","S_VLDL_PL","S_VLDL_C","S_VLDL_CE","S_VLDL_FC","S_VLDL_TG","XS_VLDL_P","XS_VLDL_L","XS_VLDL_PL","XS_VLDL_C","XS_VLDL_CE","XS_VLDL_FC","XS_VLDL_TG","IDL_P","IDL_L","IDL_PL","IDL_C","IDL_CE","IDL_FC","IDL_TG","L_LDL_P","L_LDL_L","L_LDL_PL","L_LDL_C","L_LDL_CE","L_LDL_FC","L_LDL_TG","M_LDL_P","M_LDL_L","M_LDL_PL","M_LDL_C","M_LDL_CE","M_LDL_FC","M_LDL_TG","S_LDL_P","S_LDL_L","S_LDL_PL","S_LDL_C","S_LDL_CE","S_LDL_FC"
"1",5.938052919,3.494475601,0.2968685,4.605948787,3.598204496,1.571938945,0.808513241,2.868314163,2.026265551,1.007744291,1.64754648,1.27038141,0.147727916,0.136089935,2.699469317,0.567315965,0.691099196,1.17650126,3.339211317,0.463101225,1.504926684,0.796738776,1.26673747,0.345412016,0.521338867,0.211005515,8.952964584,2.646210616,2.865092663,2.320335486,0.016165667,0.000168439,0.001363188,0.014349773,40.17020802,23.88164165,9.318087063,2.05778446,0.800640938,2.325208284,1.94830218,0.4202558,0.931553506,1.255117606,0.742204158,12.06480609,1.26735976,0.473396265,4.302792947,4.776189212,3.504616868,3.784000008,3.335143842,0.208094356,3.923778479,35.66400418,39.58778266,29.0482652,31.36395215,27.64357602,1.724804808,1.362827776,9.089199192,0.466128944,0.712488564,0.190879871,0.081748936,0.405979645,0.062580338,0.123606666,0.219792641,0.044439165,0.075856133,5.935587431,1.15215663,0.082748897,0.094964938,0.037979886,0.025619836,0.008617674,0.016287368,110.5371362,42.21217928,0.771444839,1.68e-06,0.21703402,0.030960303,0.0524398,0.030452861,0.021986939,0.133633917,5.19e-06,0.299200534,0.054024977,0.07343845,0.041331464,0.032106986,0.171737107,1.57e-05,0.519393404,0.105494371,0.145958028,0.074773748,0.07118428,0.267941005,4.65e-05,0.787430874,0.168512687,0.2030536,0.103380055,0.099673545,0.415864587,5.21e-05,0.514195991,0.119488369,0.185188261,0.113484533,0.071703728,0.209519361,4.72e-05,0.308955792,0.088835259,0.148435101,0.099678564,0.048756537,0.071685432,0.000284268,1.12132582,0.264552896,0.763425704,0.577925443,0.185500261,0.09334722,0.000808033,1.740077248,0.385931878,1.25993585,0.94509175,0.3148441,0.094209521,0.000364867,0.786789731,0.202000141,0.548721705,0.402781372,0.145940333,0.036067884,0.000190288,0.338225683,0.103167177
"2",4.972352037,29.78102772,34.75337976,4.887002625,3.816928553,1.657005645,0.951860018,2.914399516,2.159922907,1.070074072,2.89255475,2.481261095,0.171774283,0.140764273,3.084499834,0.791691785,0.707554088,1.331325092,3.505565441,0.479663233,1.652245138,0.821603584,1.381437184,0.472196785,0.50767777,0.248470489,10.86405721,4.224812897,3.039251279,2.542163437,0.016822137,0.000202535,0.001413383,0.014916305,42.28479762,23.66382004,9.371125767,2.394173526,1.208164203,2.586867114,2.223027682,0.432303497,0.977691601,1.319921687,0.740719401,15.58838312,1.235747662,0.775109286,4.642380699,5.417489985,4.232840219,27.15381182,38.09280842,22.41717806,1.904421374,1.279871128,5.989324067,0.394078018,0.669112499,0.175035528,0.090193745,0.428757,0.062594707,0.13284205,0.233320243,0.056759264,0.081891132,30.26325439,9.792145571,5.041743479,6.333673948,1.17336404,0.095458315,0.080259721,0.023563727,0.040573536,0.015418126,0.01200721,105.0102416,42.02836884,0.806288897,5.04e-06,0.732245631,0.087146308,0.12106986,0.064322932,0.056746928,0.524029463,1.03e-05,0.640818721,0.111062248,0.114681148,0.054311641,0.060369507,0.415075325,2.78e-05,0.924336067,0.178449307,0.20760406,0.092446135,0.115157924,0.538282701,5.62e-05,1.043469215,0.201396608,0.193681443,0.076693171,0.116988272,0.648391164,5.57e-05,0.570518255,0.122732898,0.171888494,0.100988516,0.070899977,0.275896864,4.76e-05,0.313425007,0.090904416,0.142935014,0.090900837,0.052034177,0.079585577,0.000289914,1.057829597,0.25392887,0.705145628,0.514623824,0.190521803,0.098755099,0.000758939,1.804148352,0.382295242,1.317689981,1.022916985,0.294772996,0.104163128,0.000431394,0.855564687,0.208321875,0.604115122,0.458408629,0.145706492,0.043127691,0.00022305,0.37953824,0.116936971,0.238117805,0.170919523,0.067198281
"3",5.414176202,6.075539385,3.058034356,0.285005272,0.055166455,0.075298901,5.326416383,3.888914017,2.020726092,1.054161559,2.757741169,1.868187925,1.437502366,1.458205205,0.904116479,0.192686803,0.213973881,3.286983862,0.656440335,0.636981382,1.618364571,3.792143364,0.648536408,1.383896554,1.104485112,1.53427302,0.405625151,0.484291371,0.333017254,10.07160545,2.614718373,2.697856109,3.269840819,0.017084486,0.000204921,0.001479585,0.015046606,38.03903882,23.99094524,9.950968765,2.572033451,0.566946438,2.894263939,2.43204914,0.479382024,1.04543211,1.532778511,0.682050344,13.34857056,1.429038847,0.661363184,4.21499682,4.577812228,0.292267472,4.954561843,40.5599699,45.51453174,22.90907736,31.5763909,34.29440034,2.189503892,1.986746608,8.186388865,0.439466735,0.709436148,0.174312036,0.087459133,0.482436463,0.062512236,0.134918954,6.509032521,1.376781071,0.082521524,0.113207281,0.047247915,0.028884181,0.020238301,0.016710797,94.17726482,39.82602607,0.794835676,1.72e-06,0.192559513,0.040149185,0.066995135,0.036600954,0.030394182,0.085415193,3.62e-06,0.200611755,0.044212969,0.069595982,0.040796246,0.028799735,0.086802804,1.12e-05,0.329229447,0.078631791,0.130183558,0.076847013,0.053336545,0.120414098,4.66e-05,0.730691502,0.181904159,0.264835149,0.149397564,0.115437585,0.283952194,5.87e-05,0.606860762,0.1427673,0.248439701,0.161410927,0.087028774,0.21565376,8.31e-05,0.554765394,0.168774929,0.274112034,0.183483705,0.09062833,0.11187843,0.000353373,1.489190149,0.375197574,0.966564533,0.701131174,0.265433359,0.147428042,0.000935765,1.747971914,0.387881047,1.230298009,0.910963828,0.319334181,0.129792858,0.000340745,0.65164127,0.162511571,0.446072776,0.327608373,0.118464403,0.043056923,0.000203075,0.298242925,0.086588764,0.19181714,0.145324352,0.046492788
"4",4.191701488,4.953918518,0.34722315,5.058108264,3.690934689,1.965658316,1.069926264,2.497416354,1.725276373,1.367173575,1.615166268,1.008508467,0.206971429,0.240028075,3.235498135,0.693062609,0.596191197,1.592354692,3.590363247,0.652094871,1.289125467,1.050848386,1.467745017,0.417831393,0.436150906,0.316325188,9.908772666,2.77149734,2.528438999,3.199556342,0.016989382,0.000213258,0.001421081,0.015015484,38.24452821,24.01450562,9.905788052,2.592273802,0.623069317,2.885247853,2.50057698,0.440911492,1.012609182,1.530237076,0.66173353,13.76136272,1.438317312,0.782055174,5.600769896,6.382825069,3.186836166,5.682977693,40.69923894,46.38221663,23.15785311,30.45993026,35.99874967,2.52317417,2.002872045,7.161604556,0.532497524,0.771122885,0.202152535,0.094490908,0.512195597,0.076960729,0.13968853,0.295546338,0.060296291,0.089785413,6.513511355,1.644232322,0.08728947,0.11953542,0.034111647,0.028475611,0.012786933,0.01228798,89.12175201,37.44971852,0.785515491,2.02e-06,0.223784106,0.048427935,0.078436502,0.04292902,0.035507481,0.09691967,4.07e-06,0.224911183,0.049053858,0.075175806,0.043757097,0.031418709,0.10068152,1.24e-05,0.357270595,0.089451037,0.141162457,0.082490062,0.058672395,0.126657101,4.8e-05,0.7558813,0.185506976,0.255289305,0.14072661,0.114562695,0.315085019,6.35e-05,0.64925183,0.147817517,0.255848828,0.167966726,0.087882102,0.245585485,8.33e-05,0.560398326,0.172805287,0.264013366,0.174225355,0.089788011,0.123579673,0.000339558,1.409279985,0.353889636,0.895732052,0.651933818,0.243798234,0.159658297,0.000908552,1.631385401,0.361076171,1.131844829,0.841881013,0.289963816,0.138464401,0.000319578,0.615797311,0.154207227,0.41481227,0.308774764,0.106037506,0.046777814,0.00019295,0.281256286,0.080907799,0.178619274,0.13846969,0.040149584
"5",3.332701154,3.344863375,0.160000508,3.991085864,3.022230696,1.365797603,0.690661997,2.36509028,1.656433092,0.968855169,1.352757352,1.027492953,0.124356442,0.117271406,2.472733821,0.478679754,0.578194079,1.177933528,2.895658371,0.397572745,1.220192675,0.768346591,1.095427493,0.293089252,0.436240417,0.200508577,7.816577038,2.196834703,2.358983613,2.264060102,0.014851198,0.000143387,0.001150122,0.013282835,39.8872928,23.91643047,9.3528171,1.901534936,0.711402839,2.173121631,1.786164411,0.375816903,0.804570464,1.200926163,0.669958312,10.64551964,1.328536516,0.323616603,4.289770577,4.61338718,2.699431304,3.039932419,40.29648831,43.33642073,25.35744047,31.3061388,31.42038613,1.502984478,1.709021886,13.25571847,0.329576053,0.74882401,0.127699712,0.096856252,0.561265806,0.085211493,0.163984895,0.312069418,0.059233593,0.07776732,5.985970466,1.073029321,0.064657877,0.099964168,0.063105534,0.069821775,0.035658753,0.020818702,92.15775645,43.52081554,0.744221198,1.39e-06,0.170636316,0.027105305,0.044971126,0.024567715,0.020403411,0.098559885,4.17e-06,0.235742336,0.04391242,0.061093289,0.034219863,0.026873426,0.130736626,1.31e-05,0.42741902,0.086241416,0.12180568,0.06249987,0.05930581,0.219371923,3.86e-05,0.653989983,0.136795354,0.171103738,0.090078506,0.081025232,0.346090891,4.23e-05,0.419982393,0.097963386,0.151428145,0.092952067,0.058476078,0.170590862,4.38e-05,0.289064657,0.086661873,0.140260018,0.093254723,0.047005295,0.062142765,0.000274855,0.996698619,0.237926461,0.675135607,0.505456068,0.169679539,0.083636552,0.000706448,1.450886118,0.327789223,1.041658397,0.773323389,0.268335008,0.081438498,0.000278065,0.625755354,0.163572024,0.433070979,0.315802247,0.117268732,0.029112351,0.000165608,0.282342141,0.086832831,0.181703716,0.131067039,0.050636677
"6",0.153190182,2.507675991,40.83800526,1.504122242,0.656950072,2.838677237,1.934057268,1.139099411,1.263408065,0.969820261,0.113682533,0.106411211,2.718169098,0.447045713,0.664179004,1.33799541,3.358804105,0.380999808,1.414618029,0.903200433,1.218474815,0.275950264,0.51943924,0.235898977,8.558856083,2.073816046,2.711918805,2.583506031,0.016798754,0.000133307,0.001229078,0.015130572,39.81384862,23.97115008,9.387751596,2.100054013,0.601607414,2.386193723,1.981518996,0.419722439,0.855777414,1.344738803,0.636389321,10.86892777,1.321805005,0.272557492,4.438653295,4.711210787,2.555361159,3.602355826,3.497507585,43.34568125,23.51070145,33.1436173,32.17895691,1.409432328,1.843657508,16.28520008,0.294227048,0.649525808,0.11224991,0.093604189,4.577278921,3.43817951,0.549326734,0.074864561,0.158433234,0.316028939,0.062573907,0.084724495,6.493707601,1.099540249,0.075661408,0.07657173,0.035248874,0.061235375,0.018824387,0.017602646,83.44109582,43.08980614,0.755369391,1.02e-06,0.131623659,0.017541501,0.028796424,0.015563968,0.013232456,0.085285734,3.85e-06,0.223878251,0.039895841,0.054738336,0.031046374,0.023691962,0.129244074,1.21e-05,0.409183234,0.078422467,0.10815634,0.054092462,0.054063878,0.222604427,3.74e-05,0.647380732,0.136197274,0.175200849,0.094215441,0.080985408,0.335982609,3.64e-05,0.383221289,0.094373619,0.143818243,0.085723796,0.058094447,0.145029428,4.25e-05,0.27852888,0.080615012,0.146239881,0.100357766,0.045882114,0.051673988,0.000305798,1.189615201,0.268948972,0.847172169,0.639692737,0.207479432,0.07349406,0.000767664,1.704273012,0.381261852,1.247946568,0.927551155,0.320395413,0.075064593,0.000292683,0.699998906,0.1866765,0.486884289,0.346588391,0.140295899,0.026438117,0.000168731,0.307646887,0.096240652,0.199226412,0.140478484,0.058747928
"7",4.232730155,4.840220381,0.29727045,5.460017031,4.452409092,1.996398395,1.042655387,3.585340516,2.456010697,1.007607939,1.868163554,1.44616892,0.164496517,0.152670138,3.071538048,0.7169352,0.83449451,1.193556715,3.93752922,0.598962109,1.817063071,0.79090893,1.52248781,0.443693279,0.638947626,0.216699008,10.39971863,3.205759508,3.455001724,2.353834792,0.017300206,0.000210534,0.001634883,0.015098496,40.07873591,23.91741421,9.267016096,2.354786833,0.793347205,2.656398392,2.228057706,0.466657066,1.129477215,1.280021982,0.882388921,14.0192096,1.419193508,0.645934132,5.758116573,6.404050705,3.382428737,4.607493226,41.07304719,45.68054041,24.12710013,30.19235946,34.52562962,2.120450856,1.893329085,8.914402079,0.334063106,0.655747968,0.150482692,0.089186706,0.470227965,0.075672395,0.1367521,0.25780347,0.054550948,0.075449254,5.827342616,1.136973487,0.076631073,0.079178641,0.044172094,0.024947888,0.017722398,0.01902975,89.11374317,44.8292027,0.883937325,2.1e-06,0.249077922,0.045671596,0.068560484,0.035706695,0.032853789,0.134845842,5.88e-06,0.333806212,0.064527836,0.09061123,0.051169929,0.039441301,0.178667147,1.84e-05,0.605986302,0.124094539,0.181097234,0.095677248,0.085419986,0.300794528,5.97e-05,0.986893264,0.21823705,0.277273429,0.145304681,0.131968749,0.491382785,6.65e-05,0.650050571,0.154145775,0.237866854,0.144475421,0.093391433,0.258037942,5.79e-05,0.379945237,0.110258405,0.187246156,0.126628135,0.060618021,0.082440676,0.000356293,1.385122609,0.326551622,0.953743007,0.724886924,0.228856083,0.104827979,0.000986931,2.125090169,0.469557218,1.550590073,1.162536114,0.388053959,0.104942879,0.000422961,0.931355169,0.244246262,0.646900623,0.468214192,0.17868643,0.040208284,0.000224991,0.398556386,0.12069103,0.258520002,0.186312765,0.072207237
"8",3.703603837,3.678699845,0.25197151,5.330394478,4.024079477,1.716551244,0.713661832,3.466493061,2.307528233,1.306315001,1.018398669,0.706931418,0.137342017,0.087940428,2.995273137,0.446892725,0.788274691,1.431267197,3.917898271,0.431425057,1.675545713,1.032899079,1.412496207,0.282236776,0.63198252,0.273415923,9.344066283,1.867485975,3.233144941,2.825522625,0.018186857,0.000137707,0.001453928,0.016251649,38.75590922,23.98351309,9.446224044,2.297158165,0.443329799,2.61497685,2.141619078,0.485578837,0.992761336,1.428756585,0.694842877,11.6643208,1.404804299,0.473453275,4.802990014,5.276443289,2.684273672,4.058987086,41.17676543,45.23575252,23.01268731,31.75156017,31.53805445,2.160190159,1.965687532,10.14459139,0.305086308,0.709953217,0.14970014,0.08093842,0.426951506,0.067363489,0.122716406,0.236871611,0.053428179,0.073820319,5.964750616,1.002631756,0.067679892,0.094893859,0.02838302,0.035088759,0.016888335,0.015280736,89.14024232,43.59424987,0.750305266,6.14e-07,0.070074422,0.012066459,0.019205507,0.009043512,0.010161995,0.038802456,2.73e-06,0.152701432,0.029475982,0.04697825,0.02843317,0.018545079,0.0762472,9.01e-06,0.301010167,0.059117154,0.09225899,0.04936798,0.04289101,0.149634023,3.84e-05,0.621841513,0.145333167,0.210793216,0.121336928,0.089456288,0.26571513,3.68e-05,0.396119997,0.106040072,0.167943714,0.100177799,0.067765915,0.12213621,5.01e-05,0.325738443,0.094859891,0.176482154,0.123065667,0.053416488,0.054396398,0.000343572,1.417912742,0.328838524,1.002889412,0.746588459,0.256300952,0.086184807,0.000914332,2.057456072,0.454964212,1.509090928,1.117295498,0.39179543,0.093400932,0.000340556,0.816412857,0.219400706,0.565706619,0.39580426,0.169902359,0.031305532,0.00019904,0.359276012,0.113909773,0.232730686,0.162445955,0.07028473
"9",6.341943993,5.167373678,2.387296883,1.275531699,4.034358828,2.780076795,1.174570315,2.561438739,2.025869408,0.215063436,0.183190505,3.658234379,0.901255866,0.91603699,1.446344502,4.533301483,0.726981899,2.083758545,0.893406099,1.80864251,0.5485498,0.696318249,0.281164216,12.56161711,4.202656973,3.911177221,2.804105322,0.018418997,0.000249719,0.00190957,0.015844564,40.5478374,23.90918993,9.457624278,2.760503516,0.927888236,3.074174191,2.610406566,0.532013933,1.320683965,1.417798226,0.931503468,16.93722855,1.296485694,0.70540348,5.922851313,6.628254793,4.699098412,5.609875346,5.003198434,0.268284393,4.164810538,34.96942428,39.13423482,27.74419911,33.12156608,29.53965236,1.583992279,1.410537557,8.39640218,0.422301027,0.722036962,0.150440607,0.079200964,0.455674595,0.074513793,0.120554239,0.260606563,0.056238413,0.071407568,5.838402587,1.98158621,0.107331773,0.094172767,0.040332921,0.026509898,0.012906277,0.013974445,94.0806487,43.00434258,0.94927623,3.54e-06,0.482440668,0.065342375,0.104454932,0.060252953,0.044201979,0.312643362,8.76e-06,0.514011353,0.096657104,0.124283538,0.0675739,0.056709638,0.293070711,2.51e-05,0.821749165,0.168084985,0.224707473,0.112808972,0.111898501,0.428956708,7e-05,1.185033263,0.259037605,0.318771174,0.163498896,0.155272279,0.607224483,6.98e-05,0.714647458,0.167686989,0.26310825,0.161330049,0.101778201,0.28385222,7.25e-05,0.484775065,0.144446808,0.240206332,0.16151713,0.078689202,0.100121925,0.000415144,1.643677595,0.394597021,1.111765184,0.829849921,0.281915264,0.137315389,0.001138677,2.355958772,0.512366175,1.705337967,1.269937656,0.435400311,0.138254629,0.000512629,1.091813742,0.266337584,0.774134354,0.589404525,0.184729828,0.051341805,0.000258263,0.463404707,0.137333231,0.300604474,0.224416364,0.07618811
"10",4.097809702,33.43656816,37.53437786,1.318728882,3.51052461,2.42500288,0.930785581,2.904882067,2.365429877,0.212486459,0.194065565,3.36288294,0.97816441,0.80288476,1.237756872,3.97166042,0.724175719,1.839190685,0.698778817,1.649843471,0.594553163,0.585812195,0.232006764,11.8892689,4.662323169,3.4403741,2.362608018,0.016094735,0.000254449,0.001776046,0.01369094,41.17330157,23.83028458,9.382820494,2.526742106,1.149655147,2.785204647,2.357740617,0.459867839,1.233146656,1.246284566,0.989458339,16.51997756,1.282077354,0.676957243,5.523713558,6.200670801,4.608356514,5.710950249,4.580554949,0.242302672,27.89565843,34.56996371,27.72736786,1.466725187,1.345527583,8.159619551,0.368166046,0.683996049,0.108508709,0.085953084,0.429692587,0.069562897,0.119497115,0.240632576,0.050148692,0.066937279,5.621503891,4.690718309,2.265715429,5.518570652,1.516928601,0.057506896,0.06932065,0.032099004,0.036057779,0.007305538,0.009910391,92.08536653,41.9762923,0.904755089,5.45e-06,0.747819343,0.10865015,0.156707405,0.085382749,0.071324656,0.482461788,1.06e-05,0.620662485,0.121100337,0.142850791,0.073015384,0.069835407,0.356711356,2.85e-05,0.929395637,0.191992521,0.247859275,0.120726004,0.127133271,0.489543842,6.9e-05,1.184180144,0.254908176,0.287713582,0.135591627,0.152121955,0.641558386,6.95e-05,0.707309358,0.160182492,0.252067382,0.157148849,0.094918534,0.295059484,7.14e-05,0.472956201,0.141330734,0.231530446,0.152311107,0.07921934,0.100095021,0.0003733,1.423963611,0.344076898,0.946986548,0.696757683,0.250228865,0.132900165,0.001049423,2.07494278,0.446775923,1.494238629,1.130380793,0.363857836,0.133928229,0.000459429,0.946152705,0.234224061,0.660493247,0.503026721,0.157466526,0.051435397,0.000267194,0.419278614,0.121884777,0.270271004,0.205783171,0.064487833
"11",6.249375895,3.256579922,4.655784536,0.120082956,0.088342355,6.572028693,4.794344365,2.086421252,0.832504367,4.141312674,2.707923113,1.777684328,1.06086863,0.741373946,0.130406206,0.107886882,3.672351009,0.489218514,0.900104981,1.894310373,4.848898824,0.509808364,1.957752026,1.408930896,1.723129869,0.322696003,0.750171087,0.368753432,11.30524833,2.063096828,3.738434299,3.779881583,0.022827412,0.00015404,0.001610276,0.020653207,38.75879032,23.99297152,9.604952751,2.89115744,0.366935614,3.24530025,2.656260525,0.584655551,1.11536686,1.829092338,0.609792538,14.16174035,1.400425887,0.473175054,5.776200842,4.513450724,0.23578576,3.341221078,40.7873658,44.12858688,22.99561947,32.87579365,31.87073489,1.664949036,1.918999701,12.20732326,0.28237651,0.593356673,0.14691977,0.092106252,0.421947061,0.057828482,0.11640253,0.24771605,0.043761404,0.053777004,5.64596778,1.091587729,0.07782026,0.074043779,0.194451155,0.057628778,0.060144662,0.022328426,90.95950634,43.38029746,0.806906661,6.39e-07,0.085312802,0.012015957,0.02478719,0.013576691,0.011210499,0.048509655,2.83e-06,0.162183255,0.030771176,0.051860439,0.031837428,0.020023011,0.07955164,9.54e-06,0.319209612,0.058326172,0.099645389,0.054260336,0.045385054,0.16123805,4.55e-05,0.706358248,0.169345953,0.255516004,0.147884863,0.107631141,0.281496291,3.92e-05,0.428025928,0.118393113,0.189872151,0.111852967,0.078019183,0.119760664,5.64e-05,0.362006982,0.100366143,0.210823193,0.150396079,0.060427115,0.050817646,0.000409889,1.723835622,0.388717141,1.253916885,0.928701339,0.325215546,0.081201596,0.001009616,2.424588701,0.53375971,1.803132935,1.325853833,0.477279102,0.087696056,0.000385525,0.92254468,0.24758461,0.64488861,0.448406424,0.196482186,0.03007146,0.000215135,0.391300919,0.118760662,0.259901567
"12",6.001412337,3.068721793,4.838503973,9.921396553,2.862578151,6.292955525,4.543831803,2.126695237,0.809998319,3.827631334,2.417136566,1.749123722,1.033226901,0.658581059,0.142058706,0.134239483,3.711881672,0.473982551,0.838782638,2.006314941,4.630530439,0.501008137,1.736184699,1.373148858,1.662425086,0.308990181,0.680951867,0.375974865,11.0380641,1.942561929,3.397977909,3.889678146,0.02247827,0.000151325,0.001459403,0.020418946,38.09499422,24.00458419,9.624239795,2.973731758,0.347451279,3.273599241,2.744028924,0.567912408,1.056433076,1.857501414,0.568738774,13.9086381,1.41894178,0.60257004,5.398842296,3.995423766,0.282138984,4.332343942,38.81646971,43.14881365,22.06342397,34.78776238,28.72620408,2.028516249,1.95567169,8.959692544,0.358033392,0.584786064,0.446963383,0.061944642,0.128811491,0.256207251,0.041438517,0.057620355,6.202476162,2.142374918,0.090239298,0.065435986,0.030746185,0.053254828,0.014659645,0.01236412,75.91774082,42.17596453,0.78974975,9.13e-07,0.121001205,0.018955252,0.029239677,0.013734611,0.015505066,0.072806276,2.6e-06,0.147255573,0.029428734,0.046378146,0.027257212,0.019120935,0.071448693,7.99e-06,0.261034728,0.050031837,0.084994653,0.046220753,0.0387739,0.126008238,3.98e-05,0.602466348,0.150749119,0.230037767,0.134106281,0.095931486,0.221679462,3.64e-05,0.39794903,0.109580521,0.182108058,0.110047808,0.07206025,0.106260451,6.36e-05,0.412855045,0.115237089,0.237240017,0.169641472,0.067598545,0.06037794,0.000448596,1.807846114,0.392801542,1.316696918,0.992078372,0.324618547,0.098347654,0.000912224,2.214193576,0.507883322,1.607197804,1.166981252,0.440216552,0.09911245,0.000357768,0.831209408,0.223783874,0.576853847,0.40331849,0.173535357,0.030571687,0.000189411,0.352574925,0.107115442,0.233084915,0.165884957,0.067199958
"13",3.674033121,3.138278338,0.186751789,4.589374524,3.495759383,1.613867467,0.733766089,2.860757285,1.881891916,1.093615142,1.08507384,0.738138427,0.14073116,0.111755734,2.702022229,0.458076659,0.672835485,1.274069062,3.337750592,0.443630504,1.363949903,0.862047532,1.251623932,0.290135584,0.517942013,0.23156761,8.376470593,1.929981174,2.695458561,2.479439938,0.015985198,0.000146178,0.001263789,0.014220706,38.50253127,23.91074502,9.41911046,2.029930644,0.534537396,2.322450119,1.864894718,0.439061809,0.90518412,1.282996576,0.70552341,10.71301473,1.29384819,0.326297833,4.109265145,4.435562978,2.603418634,3.045807752,38.35769153,41.40349928,24.30145667,34.29504404,29.29407283,1.743223487,1.703745575,12.59360231,0.379952312,0.655885425,0.118680749,0.076996039,0.492407518,0.078461283,0.137378849,0.276567386,0.058858254,0.057891421,5.729661491,1.699601685,0.120763464,0.084763015,0.385459726,0.074484222,0.164581552,0.038188578,103.5967494,41.21722354,0.753320584,9.09e-07,0.107810812,0.019028351,0.033702791,0.018483923,0.015218868,0.05507967,3e-06,0.165974596,0.032666245,0.051030442,0.030437143,0.020593299,0.082277909,9.45e-06,0.300028406,0.062451525,0.097512442,0.052068283,0.045444158,0.14006444,3.65e-05,0.582228661,0.134276736,0.191933258,0.107460519,0.084472739,0.256018668,4.04e-05,0.420148623,0.104633928,0.176324229,0.110913495,0.065410733,0.139190466,5.59e-05,0.353790076,0.105019875,0.183262927,0.124267141,0.058995786,0.065507274,0.000354525,1.27159092,0.297041023,0.880101379,0.640533109,0.23956827,0.094448518,0.000765935,1.683977618,0.390400593,1.198291199,0.876092377,0.322198822,0.095285826,0.000320215,0.698006744,0.183073801,0.482937253,0.345218655,0.137718598,0.03199569,0.000177639,0.3134742,0.099361091,0.200663463,0.14263887,0.058024593
"14",0.153708707,2.85068535,38.91142398,1.363100008,0.640402818,2.435255338,1.684454179,0.941658759,1.270075069,0.963345832,0.120017046,0.106257377,2.408181821,0.437287155,0.590743777,1.134299652,2.904239036,0.369258261,1.231976424,0.736865314,1.08497391,0.271144557,0.452477755,0.204793445,7.667469836,2.041035804,2.395215002,2.182215787,0.014071647,0.000137488,0.001160219,0.012504304,39.52238062,23.89593187,9.374871929,1.789700818,0.709657757,2.060954297,1.692350117,0.386094102,0.804046904,1.138530414,0.706214691,9.946852757,1.277732403,0.283553474,3.870462049,4.154015523,2.542321733,3.2505155,3.007752118,41.76210933,25.55905667,32.678834,30.23822903,1.545299912,1.633945645,13.64984879,0.484730174,0.608220711,0.15496238,0.077835182,3.989212946,3.047554187,0.371477507,0.049770143,0.095279092,0.226428273,0.044836579,0.061322838,4.770450866,2.632931416,0.123169126,0.071962651,0.062736071,0.082946716,0.026098328,0.014750117,90.76169717,38.61135927,0.809936561,9.21e-07,0.112125032,0.0147775,0.027805333,0.016220051,0.011585282,0.069542198,3.65e-06,0.213716077,0.037528406,0.052513538,0.029749288,0.022764251,0.123674133,1.21e-05,0.402615948,0.076077127,0.111040313,0.057335568,0.053704745,0.215498509,3.65e-05,0.622399029,0.129254452,0.160701169,0.081638943,0.079062226,0.332443408,3.98e-05,0.400065637,0.093725248,0.141876169,0.085965368,0.055910801,0.16446422,4.45e-05,0.290114081,0.085924422,0.146466296,0.098349043,0.048117253,0.057723363,0.000269636,1.049003242,0.245851238,0.72269719,0.53349615,0.18920104,0.080454814,0.000704507,1.49046316,0.33433501,1.076130026,0.799607751,0.276522275,0.079998124,0.000287853,0.618472081,0.163335121,0.427708208,0.305732013,0.121976195,0.027428752,0.000167859,0.28627976,0.093073645,0.180615945,0.12663666,0.053979285
